,年月日,平均気温(℃)
1069,2005/12/5,5.0
1070,2005/12/6,5.1
1071,2005/12/7,3.4
1072,2005/12/8,4.1
1073,2005/12/9,4.9
1074,2005/12/10,4.4
1075,2005/12/11,1.8
1076,2005/12/12,1.0
1077,2005/12/13,1.4
1078,2005/12/14,0.4
1079,2005/12/15,0.3
1080,2005/12/16,2.2
1081,2005/12/17,2.2
1082,2005/12/18,0.6
1083,2005/12/19,0.7
1084,2005/12/20,1.4
1085,2005/12/21,1.8
1086,2005/12/22,1.8
1087,2005/12/23,1.5
1088,2005/12/24,0.5
1089,2005/12/25,-0.4
1090,2005/12/26,1.6
1091,2005/12/27,2.3
1092,2005/12/28,2.3
1093,2005/12/29,1.5
1094,2005/12/30,0.5
1095,2005/12/31,2.7
1096,2006/1/1,1.8
1097,2006/1/2,1.8
1098,2006/1/3,1.1
1099,2006/1/4,1.0
1100,2006/1/5,-0.3
1101,2006/1/6,-0.8
1102,2006/1/7,0.2
1103,2006/1/8,0.7
1104,2006/1/9,0.6
1105,2006/1/10,0.9
1106,2006/1/11,2.0
1107,2006/1/12,1.7
1108,2006/1/13,0.8
1109,2006/1/14,5.6
1110,2006/1/15,8.0
1111,2006/1/16,6.8
1112,2006/1/17,5.5
1113,2006/1/18,3.0
1114,2006/1/19,2.5
1115,2006/1/20,1.0
1116,2006/1/21,0.2
1117,2006/1/22,-1.1
1118,2006/1/23,-0.2
1119,2006/1/24,2.3
1120,2006/1/25,0.9
1121,2006/1/26,2.8
1122,2006/1/27,3.1
1123,2006/1/28,1.0
1124,2006/1/29,1.6
1125,2006/1/30,5.5
1126,2006/1/31,4.0
1127,2006/2/1,4.4
1128,2006/2/2,5.5
1129,2006/2/3,4.7
1130,2006/2/4,-0.8
1131,2006/2/5,-1.2
1132,2006/2/6,-1.3
1133,2006/2/7,1.5
1134,2006/2/8,4.2
1135,2006/2/9,1.0
1136,2006/2/10,0.2
1137,2006/2/11,3.5
1138,2006/2/12,1.6
1139,2006/2/13,2.0
1140,2006/2/14,5.4
1141,2006/2/15,10.4
1142,2006/2/16,6.2
1143,2006/2/17,4.7
1144,2006/2/18,3.2
1145,2006/2/19,5.8
1146,2006/2/20,5.0
1147,2006/2/21,6.3
1148,2006/2/22,8.9
1149,2006/2/23,8.8
1150,2006/2/24,5.0
1151,2006/2/25,5.7
1152,2006/2/26,7.8
1153,2006/2/27,7.4
1154,2006/2/28,3.3
1155,2006/3/1,5.0
1156,2006/3/2,6.3
1157,2006/3/3,3.7
1158,2006/3/4,3.6
1159,2006/3/5,5.1
1160,2006/3/6,8.8
1161,2006/3/7,8.3
1162,2006/3/8,9.0
1163,2006/3/9,6.2
1164,2006/3/10,7.9
1165,2006/3/11,10.1
1166,2006/3/12,9.3
1167,2006/3/13,4.1
1168,2006/3/14,3.5
1169,2006/3/15,6.7
1170,2006/3/16,9.7
1171,2006/3/17,11.1
1172,2006/3/18,9.3
1173,2006/3/19,8.7
1174,2006/3/20,6.8
1175,2006/3/21,10.0
1176,2006/3/22,7.6
1177,2006/3/23,8.9
1178,2006/3/24,9.4
1179,2006/3/25,8.2
1180,2006/3/26,10.7
1181,2006/3/27,9.9
1182,2006/3/28,12.1
1183,2006/3/29,7.2
1184,2006/3/30,6.0
1185,2006/3/31,5.7
1186,2006/4/1,8.2
1187,2006/4/2,11.4
1188,2006/4/3,11.6
1189,2006/4/4,12.6
1190,2006/4/5,9.4
1191,2006/4/6,9.3
1192,2006/4/7,8.2
1193,2006/4/8,10.4
1194,2006/4/9,10.4
1195,2006/4/10,8.7
1196,2006/4/11,12.1
1197,2006/4/12,15.3
1198,2006/4/13,15.7
1199,2006/4/14,11.3
1200,2006/4/15,8.6
1201,2006/4/16,8.5
1202,2006/4/17,12.4
1203,2006/4/18,14.6
1204,2006/4/19,13.8
1205,2006/4/20,15.0
1206,2006/4/21,10.3
1207,2006/4/22,11.4
1208,2006/4/23,12.7
1209,2006/4/24,14.6
1210,2006/4/25,7.9
1211,2006/4/26,11.0
1212,2006/4/27,11.2
1213,2006/4/28,13.0
1214,2006/4/29,13.9
1215,2006/4/30,16.6
1216,2006/5/1,20.4
1217,2006/5/2,13.2
1218,2006/5/3,11.2
1219,2006/5/4,14.9
1220,2006/5/5,17.3
1221,2006/5/6,18.6
1222,2006/5/7,17.6
1223,2006/5/8,13.7
1224,2006/5/9,13.8
1225,2006/5/10,17.4
1226,2006/5/11,19.6
1227,2006/5/12,15.2
1228,2006/5/13,11.9
1229,2006/5/14,14.6
1230,2006/5/15,16.9
1231,2006/5/16,16.0
1232,2006/5/17,16.6
1233,2006/5/18,16.9
1234,2006/5/19,18.6
1235,2006/5/20,22.0
1236,2006/5/21,18.7
1237,2006/5/22,19.7
1238,2006/5/23,19.5
1239,2006/5/24,18.2
1240,2006/5/25,15.7
1241,2006/5/26,17.8
1242,2006/5/27,17.4
1243,2006/5/28,19.5
1244,2006/5/29,21.0
1245,2006/5/30,19.5
1246,2006/5/31,20.6
1247,2006/6/1,20.4
1248,2006/6/2,20.0
1249,2006/6/3,17.7
1250,2006/6/4,16.8
1251,2006/6/5,17.4
1252,2006/6/6,18.8
1253,2006/6/7,18.1
1254,2006/6/8,18.2
1255,2006/6/9,17.7
1256,2006/6/10,21.0
1257,2006/6/11,18.2
1258,2006/6/12,18.8
1259,2006/6/13,19.9
1260,2006/6/14,20.9
1261,2006/6/15,21.4
1262,2006/6/16,21.5
1263,2006/6/17,23.3
1264,2006/6/18,19.5
1265,2006/6/19,21.9
1266,2006/6/20,22.3
1267,2006/6/21,20.8
1268,2006/6/22,21.4
1269,2006/6/23,22.9
1270,2006/6/24,22.7
1271,2006/6/25,21.8
1272,2006/6/26,21.5
1273,2006/6/27,24.1
1274,2006/6/28,25.0
1275,2006/6/29,25.5
1276,2006/6/30,25.4
1277,2006/7/1,24.1
1278,2006/7/2,25.1
1279,2006/7/3,24.0
1280,2006/7/4,23.2
1281,2006/7/5,21.5
1282,2006/7/6,22.2
1283,2006/7/7,24.0
1284,2006/7/8,24.2
1285,2006/7/9,22.8
1286,2006/7/10,24.6
1287,2006/7/11,25.9
1288,2006/7/12,26.0
1289,2006/7/13,27.1
1290,2006/7/14,27.1
1291,2006/7/15,27.4
1292,2006/7/16,25.3
1293,2006/7/17,22.3
1294,2006/7/18,20.6
1295,2006/7/19,20.2
1296,2006/7/20,21.2
1297,2006/7/21,20.3
1298,2006/7/22,22.3
1299,2006/7/23,23.6
1300,2006/7/24,23.0
1301,2006/7/25,23.5
1302,2006/7/26,25.6
1303,2006/7/27,24.6
1304,2006/7/28,25.2
1305,2006/7/29,25.7
1306,2006/7/30,22.8
1307,2006/7/31,21.5
1308,2006/8/1,20.4
1309,2006/8/2,22.7
1310,2006/8/3,25.9
1311,2006/8/4,27.1
1312,2006/8/5,26.9
1313,2006/8/6,26.8
1314,2006/8/7,27.8
1315,2006/8/8,25.2
1316,2006/8/9,24.2
1317,2006/8/10,26.4
1318,2006/8/11,25.3
1319,2006/8/12,23.7
1320,2006/8/13,24.7
1321,2006/8/14,26.4
1322,2006/8/15,25.1
1323,2006/8/16,25.8
1324,2006/8/17,28.0
1325,2006/8/18,29.0
1326,2006/8/19,28.4
1327,2006/8/20,27.2
1328,2006/8/21,27.0
1329,2006/8/22,26.7
1330,2006/8/23,26.5
1331,2006/8/24,27.3
1332,2006/8/25,26.4
1333,2006/8/26,23.9
1334,2006/8/27,23.8
1335,2006/8/28,24.1
1336,2006/8/29,26.3
1337,2006/8/30,24.2
1338,2006/8/31,24.6
1339,2006/9/1,20.8
1340,2006/9/2,22.6
1341,2006/9/3,23.6
1342,2006/9/4,24.1
1343,2006/9/5,26.0
1344,2006/9/6,22.4
1345,2006/9/7,23.6
1346,2006/9/8,24.4
1347,2006/9/9,25.2
1348,2006/9/10,27.5
1349,2006/9/11,24.5
1350,2006/9/12,21.2
1351,2006/9/13,18.2
1352,2006/9/14,18.3
1353,2006/9/15,19.8
1354,2006/9/16,19.9
1355,2006/9/17,20.5
1356,2006/9/18,24.1
1357,2006/9/19,25.5
1358,2006/9/20,22.8
1359,2006/9/21,21.0
1360,2006/9/22,20.8
1361,2006/9/23,19.9
1362,2006/9/24,19.5
1363,2006/9/25,18.8
1364,2006/9/26,18.9
1365,2006/9/27,19.2
1366,2006/9/28,20.8
1367,2006/9/29,20.7
1368,2006/9/30,20.2
1369,2006/10/1,20.1
1370,2006/10/2,18.1
1371,2006/10/3,20.3
1372,2006/10/4,20.3
1373,2006/10/5,19.4
1374,2006/10/6,17.4
1375,2006/10/7,18.3
1376,2006/10/8,18.5
1377,2006/10/9,16.9
1378,2006/10/10,17.9
1379,2006/10/11,18.5
1380,2006/10/12,19.1
1381,2006/10/13,17.7
1382,2006/10/14,16.3
1383,2006/10/15,15.6
1384,2006/10/16,17.7
1385,2006/10/17,17.5
1386,2006/10/18,16.8
1387,2006/10/19,17.0
1388,2006/10/20,17.3
1389,2006/10/21,17.0
1390,2006/10/22,17.8
1391,2006/10/23,16.8
1392,2006/10/24,11.9
1393,2006/10/25,15.3
1394,2006/10/26,15.9
1395,2006/10/27,16.0
1396,2006/10/28,16.4
1397,2006/10/29,16.5
1398,2006/10/30,15.7
1399,2006/10/31,15.9
1400,2006/11/1,15.2
1401,2006/11/2,14.5
1402,2006/11/3,14.3
1403,2006/11/4,14.6
1404,2006/11/5,15.9
1405,2006/11/6,15.2
1406,2006/11/7,16.7
1407,2006/11/8,11.2
1408,2006/11/9,12.1
1409,2006/11/10,13.6
1410,2006/11/11,13.3
1411,2006/11/12,10.7
1412,2006/11/13,9.2
1413,2006/11/14,14.1
1414,2006/11/15,13.0
1415,2006/11/16,9.9
1416,2006/11/17,7.6
1417,2006/11/18,7.7
1418,2006/11/19,8.6
1419,2006/11/20,11.8
1420,2006/11/21,11.7
1421,2006/11/22,11.0
1422,2006/11/23,9.8
1423,2006/11/24,8.6
1424,2006/11/25,5.2
1425,2006/11/26,7.4
1426,2006/11/27,14.2
1427,2006/11/28,11.2
1428,2006/11/29,11.8
1429,2006/11/30,7.8
1430,2006/12/1,6.2
1431,2006/12/2,6.8
1432,2006/12/3,4.5
1433,2006/12/4,3.3
1434,2006/12/5,3.2
1435,2006/12/6,4.0
1436,2006/12/7,4.3
1437,2006/12/8,8.5
1438,2006/12/9,5.6
1439,2006/12/10,7.2
1440,2006/12/11,6.1
1441,2006/12/12,4.7
1442,2006/12/13,7.6
1443,2006/12/14,8.6
1444,2006/12/15,8.8
1445,2006/12/16,10.1
1446,2006/12/17,9.1
1447,2006/12/18,5.3
1448,2006/12/19,3.4
1449,2006/12/20,6.2
1450,2006/12/21,7.9
1451,2006/12/22,7.2
1452,2006/12/23,5.2
1453,2006/12/24,5.9
1454,2006/12/25,5.3
1455,2006/12/26,8.8
1456,2006/12/27,13.6
1457,2006/12/28,9.7
1458,2006/12/29,4.4
1459,2006/12/30,4.9
1460,2006/12/31,2.4
1461,2007/1/1,2.7
1462,2007/1/2,5.3
1463,2007/1/3,7.2
1464,2007/1/4,3.7
1465,2007/1/5,3.4
1466,2007/1/6,3.9
1467,2007/1/7,6.3
1468,2007/1/8,6.0
1469,2007/1/9,3.7
1470,2007/1/10,3.1
1471,2007/1/11,2.6
1472,2007/1/12,3.2
1473,2007/1/13,3.4
1474,2007/1/14,1.9
1475,2007/1/15,2.7
1476,2007/1/16,4.4
1477,2007/1/17,5.0
1478,2007/1/18,5.4
1479,2007/1/19,4.0
1480,2007/1/20,2.0
1481,2007/1/21,5.0
1482,2007/1/22,5.2
1483,2007/1/23,4.7
1484,2007/1/24,3.8
1485,2007/1/25,3.6
1486,2007/1/26,5.0
1487,2007/1/27,8.0
1488,2007/1/28,6.0
1489,2007/1/29,5.5
1490,2007/1/30,4.3
1491,2007/1/31,7.2
1492,2007/2/1,5.8
1493,2007/2/2,4.0
1494,2007/2/3,4.5
1495,2007/2/4,4.8
1496,2007/2/5,3.9
1497,2007/2/6,8.0
1498,2007/2/7,6.3
1499,2007/2/8,5.7
1500,2007/2/9,8.2
1501,2007/2/10,8.6
1502,2007/2/11,6.7
1503,2007/2/12,6.2
1504,2007/2/13,5.8
1505,2007/2/14,8.3
1506,2007/2/15,8.0
1507,2007/2/16,6.1
1508,2007/2/17,4.0
1509,2007/2/18,4.9
1510,2007/2/19,5.4
1511,2007/2/20,5.4
1512,2007/2/21,7.1
1513,2007/2/22,7.8
1514,2007/2/23,9.6
1515,2007/2/24,4.6
1516,2007/2/25,2.3
1517,2007/2/26,3.1
1518,2007/2/27,6.4
1519,2007/2/28,7.4
1520,2007/3/1,4.9
1521,2007/3/2,5.3
1522,2007/3/3,10.0
1523,2007/3/4,12.0
1524,2007/3/5,15.5
1525,2007/3/6,10.1
1526,2007/3/7,5.9
1527,2007/3/8,5.1
1528,2007/3/9,4.9
1529,2007/3/10,8.3
1530,2007/3/11,8.0
1531,2007/3/12,5.3
1532,2007/3/13,6.6
1533,2007/3/14,6.6
1534,2007/3/15,6.7
1535,2007/3/16,6.6
1536,2007/3/17,4.7
1537,2007/3/18,3.3
1538,2007/3/19,5.2
1539,2007/3/20,6.6
1540,2007/3/21,7.1
1541,2007/3/22,8.9
1542,2007/3/23,9.3
1543,2007/3/24,12.4
1544,2007/3/25,13.9
1545,2007/3/26,12.1
1546,2007/3/27,10.4
1547,2007/3/28,12.6
1548,2007/3/29,16.3
1549,2007/3/30,11.8
1550,2007/3/31,10.6
1551,2007/4/1,15.3
1552,2007/4/2,13.0
1553,2007/4/3,6.2
1554,2007/4/4,6.0
1555,2007/4/5,7.2
1556,2007/4/6,9.5
1557,2007/4/7,12.0
1558,2007/4/8,12.1
1559,2007/4/9,10.4
1560,2007/4/10,11.5
1561,2007/4/11,10.4
1562,2007/4/12,11.6
1563,2007/4/13,14.7
1564,2007/4/14,17.3
1565,2007/4/15,12.3
1566,2007/4/16,9.5
1567,2007/4/17,8.5
1568,2007/4/18,7.7
1569,2007/4/19,9.0
1570,2007/4/20,12.7
1571,2007/4/21,18.1
1572,2007/4/22,18.1
1573,2007/4/23,11.7
1574,2007/4/24,11.5
1575,2007/4/25,12.9
1576,2007/4/26,14.7
1577,2007/4/27,12.6
1578,2007/4/28,11.2
1579,2007/4/29,13.7
1580,2007/4/30,16.5
1581,2007/5/1,14.7
1582,2007/5/2,17.4
1583,2007/5/3,17.1
1584,2007/5/4,20.3
1585,2007/5/5,21.1
1586,2007/5/6,16.6
1587,2007/5/7,17.4
1588,2007/5/8,18.2
1589,2007/5/9,21.0
1590,2007/5/10,18.5
1591,2007/5/11,16.4
1592,2007/5/12,16.1
1593,2007/5/13,17.0
1594,2007/5/14,16.0
1595,2007/5/15,15.4
1596,2007/5/16,16.6
1597,2007/5/17,15.7
1598,2007/5/18,18.8
1599,2007/5/19,16.5
1600,2007/5/20,16.8
1601,2007/5/21,14.9
1602,2007/5/22,19.2
1603,2007/5/23,20.6
1604,2007/5/24,18.6
1605,2007/5/25,17.6
1606,2007/5/26,21.5
1607,2007/5/27,20.5
1608,2007/5/28,13.6
1609,2007/5/29,15.7
1610,2007/5/30,17.3
1611,2007/5/31,16.8
1612,2007/6/1,15.8
1613,2007/6/2,17.9
1614,2007/6/3,19.2
1615,2007/6/4,19.2
1616,2007/6/5,19.9
1617,2007/6/6,20.9
1618,2007/6/7,21.9
1619,2007/6/8,20.9
1620,2007/6/9,20.6
1621,2007/6/10,18.8
1622,2007/6/11,20.1
1623,2007/6/12,22.0
1624,2007/6/13,22.6
1625,2007/6/14,20.6
1626,2007/6/15,22.0
1627,2007/6/16,21.3
1628,2007/6/17,19.6
1629,2007/6/18,22.1
1630,2007/6/19,23.6
1631,2007/6/20,24.9
1632,2007/6/21,24.4
1633,2007/6/22,21.8
1634,2007/6/23,23.6
1635,2007/6/24,20.7
1636,2007/6/25,20.4
1637,2007/6/26,22.3
1638,2007/6/27,23.9
1639,2007/6/28,24.9
1640,2007/6/29,25.3
1641,2007/6/30,22.0
1642,2007/7/1,22.0
1643,2007/7/2,22.7
1644,2007/7/3,22.9
1645,2007/7/4,20.3
1646,2007/7/5,21.8
1647,2007/7/6,23.3
1648,2007/7/7,22.0
1649,2007/7/8,21.7
1650,2007/7/9,21.6
1651,2007/7/10,21.9
1652,2007/7/11,23.4
1653,2007/7/12,22.8
1654,2007/7/13,22.2
1655,2007/7/14,20.3
1656,2007/7/15,23.0
1657,2007/7/16,22.7
1658,2007/7/17,19.0
1659,2007/7/18,19.4
1660,2007/7/19,20.4
1661,2007/7/20,22.9
1662,2007/7/21,23.5
1663,2007/7/22,24.2
1664,2007/7/23,23.6
1665,2007/7/24,24.0
1666,2007/7/25,24.6
1667,2007/7/26,25.4
1668,2007/7/27,25.8
1669,2007/7/28,25.8
1670,2007/7/29,24.7
1671,2007/7/30,20.8
1672,2007/7/31,22.0
1673,2007/8/1,25.8
1674,2007/8/2,28.3
1675,2007/8/3,27.8
1676,2007/8/4,28.5
1677,2007/8/5,27.5
1678,2007/8/6,27.6
1679,2007/8/7,27.3
1680,2007/8/8,28.2
1681,2007/8/9,28.1
1682,2007/8/10,28.2
1683,2007/8/11,28.1
1684,2007/8/12,27.7
1685,2007/8/13,27.8
1686,2007/8/14,29.1
1687,2007/8/15,29.7
1688,2007/8/16,30.7
1689,2007/8/17,27.9
1690,2007/8/18,23.3
1691,2007/8/19,26.8
1692,2007/8/20,28.0
1693,2007/8/21,28.5
1694,2007/8/22,28.6
1695,2007/8/23,24.1
1696,2007/8/24,25.2
1697,2007/8/25,26.1
1698,2007/8/26,27.6
1699,2007/8/27,27.7
1700,2007/8/28,26.2
1701,2007/8/29,23.4
1702,2007/8/30,22.8
1703,2007/8/31,22.9
1704,2007/9/1,21.2
1705,2007/9/2,21.9
1706,2007/9/3,22.7
1707,2007/9/4,25.4
1708,2007/9/5,26.3
1709,2007/9/6,26.4
1710,2007/9/7,25.6
1711,2007/9/8,27.2
1712,2007/9/9,26.9
1713,2007/9/10,25.7
1714,2007/9/11,23.1
1715,2007/9/12,20.0
1716,2007/9/13,21.2
1717,2007/9/14,24.0
1718,2007/9/15,26.2
1719,2007/9/16,27.6
1720,2007/9/17,27.7
1721,2007/9/18,22.9
1722,2007/9/19,23.0
1723,2007/9/20,25.3
1724,2007/9/21,25.2
1725,2007/9/22,25.6
1726,2007/9/23,21.5
1727,2007/9/24,20.8
1728,2007/9/25,22.8
1729,2007/9/26,20.6
1730,2007/9/27,22.0
1731,2007/9/28,24.5
1732,2007/9/29,16.7
1733,2007/9/30,16.3
1734,2007/10/1,17.1
1735,2007/10/2,18.6
1736,2007/10/3,19.3
1737,2007/10/4,20.2
1738,2007/10/5,20.3
1739,2007/10/6,16.4
1740,2007/10/7,17.1
1741,2007/10/8,17.7
1742,2007/10/9,17.1
1743,2007/10/10,16.3
1744,2007/10/11,18.2
1745,2007/10/12,19.3
1746,2007/10/13,16.7
1747,2007/10/14,16.3
1748,2007/10/15,17.1
1749,2007/10/16,15.4
1750,2007/10/17,15.3
1751,2007/10/18,14.6
1752,2007/10/19,15.8
1753,2007/10/20,16.0
1754,2007/10/21,12.3
1755,2007/10/22,13.3
1756,2007/10/23,14.8
1757,2007/10/24,13.1
1758,2007/10/25,14.4
1759,2007/10/26,16.6
1760,2007/10/27,16.1
1761,2007/10/28,16.2
1762,2007/10/29,16.4
1763,2007/10/30,15.9
1764,2007/10/31,14.8
1765,2007/11/1,15.3
1766,2007/11/2,14.2
1767,2007/11/3,12.1
1768,2007/11/4,13.1
1769,2007/11/5,14.0
1770,2007/11/6,14.0
1771,2007/11/7,12.3
1772,2007/11/8,11.7
1773,2007/11/9,13.6
1774,2007/11/10,12.2
1775,2007/11/11,12.8
1776,2007/11/12,12.6
1777,2007/11/13,12.0
1778,2007/11/14,13.1
1779,2007/11/15,12.3
1780,2007/11/16,8.9
1781,2007/11/17,6.6
1782,2007/11/18,9.0
1783,2007/11/19,6.9
1784,2007/11/20,6.6
1785,2007/11/21,6.5
1786,2007/11/22,4.9
1787,2007/11/23,5.3
1788,2007/11/24,4.4
1789,2007/11/25,7.4
1790,2007/11/26,7.5
1791,2007/11/27,9.4
1792,2007/11/28,8.8
1793,2007/11/29,7.9
1794,2007/11/30,8.1
1795,2007/12/1,8.2
1796,2007/12/2,6.7
1797,2007/12/3,5.8
1798,2007/12/4,6.1
1799,2007/12/5,3.6
1800,2007/12/6,5.4
1801,2007/12/7,6.4
1802,2007/12/8,8.6
1803,2007/12/9,7.3
1804,2007/12/10,5.8
1805,2007/12/11,7.3
1806,2007/12/12,7.6
1807,2007/12/13,7.7
1808,2007/12/14,6.5
1809,2007/12/15,4.3
1810,2007/12/16,3.6
1811,2007/12/17,1.2
1812,2007/12/18,3.0
1813,2007/12/19,2.6
1814,2007/12/20,4.3
1815,2007/12/21,4.5
1816,2007/12/22,4.2
1817,2007/12/23,6.0
1818,2007/12/24,6.1
1819,2007/12/25,2.9
1820,2007/12/26,2.4
1821,2007/12/27,2.5
1822,2007/12/28,5.9
1823,2007/12/29,10.2
1824,2007/12/30,7.0
1825,2007/12/31,2.7
1826,2008/1/1,2.9
1827,2008/1/2,4.1
1828,2008/1/3,3.5
1829,2008/1/4,2.7
1830,2008/1/5,2.0
1831,2008/1/6,4.3
1832,2008/1/7,5.0
1833,2008/1/8,6.2
1834,2008/1/9,6.6
1835,2008/1/10,5.0
1836,2008/1/11,5.6
1837,2008/1/12,5.2
1838,2008/1/13,2.3
1839,2008/1/14,0.2
1840,2008/1/15,0.6
1841,2008/1/16,3.5
1842,2008/1/17,1.2
1843,2008/1/18,-0.7
1844,2008/1/19,0.8
1845,2008/1/20,0.9
1846,2008/1/21,2.9
1847,2008/1/22,1.7
1848,2008/1/23,2.0
1849,2008/1/24,3.2
1850,2008/1/25,1.5
1851,2008/1/26,1.0
1852,2008/1/27,0.4
1853,2008/1/28,0.8
1854,2008/1/29,2.9
1855,2008/1/30,5.7
1856,2008/1/31,3.2
1857,2008/2/1,1.0
1858,2008/2/2,2.0
1859,2008/2/3,1.4
1860,2008/2/4,2.3
1861,2008/2/5,1.3
1862,2008/2/6,0.6
1863,2008/2/7,3.4
1864,2008/2/8,2.9
1865,2008/2/9,0.4
1866,2008/2/10,4.4
1867,2008/2/11,4.6
1868,2008/2/12,3.7
1869,2008/2/13,1.4
1870,2008/2/14,3.6
1871,2008/2/15,3.8
1872,2008/2/16,2.2
1873,2008/2/17,0.2
1874,2008/2/18,1.4
1875,2008/2/19,1.4
1876,2008/2/20,3.6
1877,2008/2/21,5.9
1878,2008/2/22,7.0
1879,2008/2/23,4.9
1880,2008/2/24,1.8
1881,2008/2/25,0.9
1882,2008/2/26,6.5
1883,2008/2/27,4.7
1884,2008/2/28,4.3
1885,2008/2/29,3.8
1886,2008/3/1,5.8
1887,2008/3/2,7.0
1888,2008/3/3,6.2
1889,2008/3/4,5.9
1890,2008/3/5,4.6
1891,2008/3/6,4.7
1892,2008/3/7,4.4
1893,2008/3/8,4.3
1894,2008/3/9,6.8
1895,2008/3/10,5.1
1896,2008/3/11,8.3
1897,2008/3/12,7.4
1898,2008/3/13,8.1
1899,2008/3/14,11.3
1900,2008/3/15,12.1
1901,2008/3/16,11.7
1902,2008/3/17,11.1
1903,2008/3/18,10.7
1904,2008/3/19,10.5
1905,2008/3/20,8.4
1906,2008/3/21,9.4
1907,2008/3/22,9.2
1908,2008/3/23,9.1
1909,2008/3/24,7.1
1910,2008/3/25,10.0
1911,2008/3/26,13.3
1912,2008/3/27,10.7
1913,2008/3/28,9.7
1914,2008/3/29,8.8
1915,2008/3/30,6.8
1916,2008/3/31,5.2
1917,2008/4/1,9.0
1918,2008/4/2,10.0
1919,2008/4/3,11.1
1920,2008/4/4,11.4
1921,2008/4/5,12.1
1922,2008/4/6,11.7
1923,2008/4/7,12.2
1924,2008/4/8,11.4
1925,2008/4/9,11.7
1926,2008/4/10,8.9
1927,2008/4/11,11.6
1928,2008/4/12,13.0
1929,2008/4/13,9.1
1930,2008/4/14,11.3
1931,2008/4/15,12.5
1932,2008/4/16,15.1
1933,2008/4/17,15.3
1934,2008/4/18,12.8
1935,2008/4/19,13.6
1936,2008/4/20,14.0
1937,2008/4/21,13.6
1938,2008/4/22,12.0
1939,2008/4/23,13.5
1940,2008/4/24,16.5
1941,2008/4/25,12.6
1942,2008/4/26,11.7
1943,2008/4/27,13.5
1944,2008/4/28,13.9
1945,2008/4/29,15.5
1946,2008/4/30,18.3
1947,2008/5/1,19.4
1948,2008/5/2,18.3
1949,2008/5/3,17.9
1950,2008/5/4,17.1
1951,2008/5/5,17.3
1952,2008/5/6,18.7
1953,2008/5/7,19.2
1954,2008/5/8,16.8
1955,2008/5/9,16.7
1956,2008/5/10,11.8
1957,2008/5/11,10.5
1958,2008/5/12,11.0
1959,2008/5/13,10.6
1960,2008/5/14,11.8
1961,2008/5/15,15.1
1962,2008/5/16,16.6
1963,2008/5/17,16.7
1964,2008/5/18,16.4
1965,2008/5/19,18.7
1966,2008/5/20,19.1
1967,2008/5/21,17.6
1968,2008/5/22,19.2
1969,2008/5/23,21.9
1970,2008/5/24,20.8
1971,2008/5/25,19.2
1972,2008/5/26,21.2
1973,2008/5/27,19.0
1974,2008/5/28,17.3
1975,2008/5/29,13.7
1976,2008/5/30,13.7
1977,2008/5/31,12.8
1978,2008/6/1,16.9
1979,2008/6/2,17.9
1980,2008/6/3,14.9
1981,2008/6/4,17.3
1982,2008/6/5,17.7
1983,2008/6/6,21.4
1984,2008/6/7,20.9
1985,2008/6/8,19.9
1986,2008/6/9,19.8
1987,2008/6/10,20.6
1988,2008/6/11,21.4
1989,2008/6/12,16.4
1990,2008/6/13,20.0
1991,2008/6/14,20.4
1992,2008/6/15,18.7
1993,2008/6/16,20.8
1994,2008/6/17,19.3
1995,2008/6/18,20.7
1996,2008/6/19,22.0
1997,2008/6/20,22.1
1998,2008/6/21,23.0
1999,2008/6/22,19.9
2000,2008/6/23,20.3
2001,2008/6/24,21.7
2002,2008/6/25,19.2
2003,2008/6/26,15.7
2004,2008/6/27,19.4
2005,2008/6/28,21.9
2006,2008/6/29,19.9
2007,2008/6/30,20.5
2008,2008/7/1,20.0
2009,2008/7/2,22.3
2010,2008/7/3,23.0
2011,2008/7/4,25.7
2012,2008/7/5,26.7
2013,2008/7/6,26.3
2014,2008/7/7,24.2
2015,2008/7/8,23.6
2016,2008/7/9,22.1
2017,2008/7/10,22.8
2018,2008/7/11,24.4
2019,2008/7/12,26.4
2020,2008/7/13,25.6
2021,2008/7/14,25.8
2022,2008/7/15,24.8
2023,2008/7/16,25.3
2024,2008/7/17,26.1
2025,2008/7/18,25.8
2026,2008/7/19,26.0
2027,2008/7/20,23.8
2028,2008/7/21,24.9
2029,2008/7/22,27.9
2030,2008/7/23,28.2
2031,2008/7/24,28.4
2032,2008/7/25,26.5
2033,2008/7/26,24.8
2034,2008/7/27,24.8
2035,2008/7/28,25.2
2036,2008/7/29,25.7
2037,2008/7/30,23.8
2038,2008/7/31,23.5
2039,2008/8/1,25.5
2040,2008/8/2,27.5
2041,2008/8/3,28.7
2042,2008/8/4,28.8
2043,2008/8/5,25.3
2044,2008/8/6,27.6
2045,2008/8/7,29.1
2046,2008/8/8,28.3
2047,2008/8/9,25.9
2048,2008/8/10,24.5
2049,2008/8/11,26.2
2050,2008/8/12,26.8
2051,2008/8/13,28.6
2052,2008/8/14,28.0
2053,2008/8/15,28.9
2054,2008/8/16,26.6
2055,2008/8/17,21.1
2056,2008/8/18,23.0
2057,2008/8/19,24.9
2058,2008/8/20,25.1
2059,2008/8/21,23.1
2060,2008/8/22,20.3
2061,2008/8/23,20.1
2062,2008/8/24,22.6
2063,2008/8/25,22.9
2064,2008/8/26,21.9
2065,2008/8/27,23.0
2066,2008/8/28,24.5
